job_id,model,topology,seed,horizon,threshold_fraction,strong_bar_threshold,expected_h1,expected_h2,detected_h1,detected_h2,signature_match
pilot__lstm__s1__seed11,lstm,s1,11,128,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,128,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,128,0.8,9.17819004058838,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,512,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,512,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,512,0.8,9.17819004058838,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,2048,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,2048,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,2048,0.8,9.17819004058838,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,4096,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,4096,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed11,lstm,s1,11,4096,0.8,9.17819004058838,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,0,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,0,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,0,0.8,9.17819004058838,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,128,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,128,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,128,0.8,9.17819004058838,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,512,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,512,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,512,0.8,9.17819004058838,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,2048,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,2048,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,2048,0.8,9.17819004058838,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,4096,0.5,5.736368775367737,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,4096,0.65,7.457279407978058,1,0,1,0,True
pilot__lstm__s1__seed12,lstm,s1,12,4096,0.8,9.17819004058838,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,0,0.5,5.736368775367737,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,0,0.65,7.457279407978058,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,0,0.8,9.17819004058838,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,128,0.5,5.736368775367737,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,128,0.65,7.457279407978058,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,128,0.8,9.17819004058838,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,512,0.5,5.736368775367737,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,512,0.65,7.457279407978058,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,512,0.8,9.17819004058838,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,2048,0.5,5.736368775367737,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,2048,0.65,7.457279407978058,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,2048,0.8,9.17819004058838,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,4096,0.5,5.736368775367737,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,4096,0.65,7.457279407978058,1,0,1,0,True
broad__calru__s1__lr0p01_eta1000_i50__seed10,calru,s1,10,4096,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,0,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,0,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,0,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,128,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,128,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,128,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,512,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,512,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,512,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,2048,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,2048,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,2048,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,4096,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,4096,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed11,calru,s1,11,4096,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,0,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,0,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,0,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,128,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,128,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,128,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,512,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,512,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,512,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,2048,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,2048,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,2048,0.8,9.17819004058838,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,4096,0.5,5.736368775367737,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,4096,0.65,7.457279407978058,1,0,1,0,True
refine__calru__s1__lr0p01_eta1000_i50__seed12,calru,s1,12,4096,0.8,9.17819004058838,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,0,0.5,5.736368775367737,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,0,0.65,7.457279407978058,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,0,0.8,9.17819004058838,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,128,0.5,5.736368775367737,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,128,0.65,7.457279407978058,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,128,0.8,9.17819004058838,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,512,0.5,5.736368775367737,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,512,0.65,7.457279407978058,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,512,0.8,9.17819004058838,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,2048,0.5,5.736368775367737,1,0,1,0,True
broad__hc__s1__lr0p01_a0p01_bm0p1_eta1000_i50__seed10,hc,s1,10,2048,0.65,7.457279407978058,1,0,1,0,True
